"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Type of Area Above Ceiling","Ceiling Insulation U-Value","Ceiling Insulation U-Value_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value for Heat Loss","Ceiling U-Value for Heat Loss_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00008747","SITE_01272","Attic",685.0000,,"Yes","No","Unknown",,"Unknown",,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"Unknown",,"Unknown",0.1010,,69.4200,,"N/A"
"Envelope_00008748","SITE_01272","Attic",342.5000,,"Yes","Yes","Blown fiberglass",3.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.1180,,8.4750,,0.1180,,40.4100,,"N/A"
"Envelope_00008749","SITE_01272","Attic",342.5000,,"Yes","Yes","Fiberglass batts",3.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0838,,11.9350,,0.0840,,28.7000,,"N/A"
"Envelope_00008776","SITE_01278","Attic",600.0000,,"No","Yes","Fiberglass batts",3.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0978,,10.2300,,0.0980,,58.6500,,"N/A"
"Envelope_00008777","SITE_01278","Sloped / Vaulted (no attic)",620.0000,,"No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0978,,10.2300,,0.0980,,60.6100,,"N/A"
"Envelope_00008778","SITE_01278","Sloped / Vaulted (no attic)",225.0000,,"No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0978,,10.2300,,0.0980,,21.9900,,"N/A"
"Envelope_00008769","SITE_01289","Adiabatic",556.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Residential occupancy",,"N/A",,"N/A",0.0000,,0.0000,,"N/A"
"Envelope_00008751","SITE_01293","Attic",857.0000,,"Yes","Yes","Blown fiberglass",16.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0221,,45.2000,,0.0220,,18.9600,,"N/A"
"Envelope_00008752","SITE_01293","Sloped / Vaulted (no attic)",428.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,32.5200,,"N/A"
"Envelope_00008753","SITE_01294","Attic",358.0000,,"Yes","Yes","Blown fiberglass",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0295,,33.9000,,0.0290,,10.5600,,"N/A"
"Envelope_00008754","SITE_01294","Sloped / Vaulted (no attic)",981.0000,,"Yes","Yes","Fiberglass batts",7.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0391,,25.5750,,0.0390,,38.3600,,"N/A"
"Envelope_00008432","SITE_01295","Attic",1332.0000,,"Yes","Yes","Blown mineral wool",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0631,,15.8583,,0.0630,,83.9900,,"N/A"
"Envelope_00008448","SITE_01296","Attic",1884.0000,,"Yes","Yes","Blown fiberglass",14.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0253,,39.5500,,0.0250,,47.6400,,"N/A"
"Envelope_00008427","SITE_01297","Attic",1599.0000,,"Yes","Yes","Blown cellulose",3.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0836,,11.9583,,0.0840,,133.7100,,"N/A"
"Envelope_00008734","SITE_01298","Attic",1448.8000,,"Yes","Yes","Blown fiberglass",14.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0253,,39.5500,,0.0250,,36.6300,,"N/A"
"Envelope_00008758","SITE_01299","Attic",99.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,10.0300,,"N/A"
