"PK_WaterDetail_ID","CK_SiteID","CK_RoomID","Room Name","Room Type","Fixture Type","Rated GPM","Rated GPM_Notes","Measured GPM","Measured GPM_Notes","Primary Shower","Secondary Shower Usage","Notes"
"Water_00003014","SITE_01683","Room_00020851","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",1.5000,,"N/A","N/A","Can't read"
"Water_00003015","SITE_01683","Room_00020851","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",,"Unknown","Primary","Daily / Almost Daily","Dual shower heads"
"Water_00003016","SITE_01708","Room_00021104","Bathroom_6","Bathroom","Shower",2.5000,,2.5200,,"Primary","Daily / Almost Daily","N/A"
"Water_00003017","SITE_01708","Room_00021104","Bathroom_6","Bathroom","Bathroom Faucet",2.0000,,2.0000,,"N/A","N/A","N/A"
"Water_00003018","SITE_01715","Room_00021162","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,1.0000,,"N/A","N/A","N/A"
"Water_00003019","SITE_01715","Room_00021164","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",0.5000,,"Secondary","A few times per year","N/A"
"Water_00003020","SITE_01715","Room_00021164","Bathroom_1","Bathroom","Bathroom Faucet",1.0000,,1.0000,,"N/A","N/A","N/A"
"Water_00003021","SITE_01707","Room_00021092","Bathroom_6","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,1.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003022","SITE_01707","Room_00021092","Bathroom_6","Bathroom","Bathroom Faucet",2.2000,,2.0000,,"N/A","N/A","N/A"
"Water_00003023","SITE_01709","Room_00021115","Bathroom_6","Bathroom","Shower",,"Unknown",2.5000,,"Primary","A few times per week","N/A"
"Water_00003024","SITE_01709","Room_00021115","Bathroom_6","Bathroom","Bathroom Faucet",2.0000,,2.5000,,"N/A","N/A","N/A"
"Water_00003025","SITE_01709","Room_00021115","Bathroom_6","Bathroom","Bathroom Faucet",2.0000,,2.5000,,"N/A","N/A","N/A"
"Water_00003026","SITE_01704","Room_00021065","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,3.0000,,"N/A","N/A","N/A"
"Water_00003027","SITE_01704","Room_00021065","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",,"Unknown","Secondary","Never","Shower head disconnected. Area used as storage."
"Water_00003028","SITE_01704","Room_00021067","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",2.5000,,"N/A","N/A","N/A"
"Water_00003029","SITE_01704","Room_00021067","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",4.0000,,"N/A","N/A","N/A"
"Water_00003030","SITE_01704","Room_00021067","Bathroom_2","Bathroom","Shower",,"Unknown",3.0000,,"Primary","A few times per week","N/A"
"Water_00003031","SITE_01764","Room_00021609","Bathroom_6","Bathroom","Bathroom Faucet",1.5000,,1.5000,,"N/A","N/A","N/A"
"Water_00003032","SITE_01764","Room_00021609","Bathroom_6","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.5000,,"Primary","Daily / Almost Daily","N/A"
