"PK_WindowDetail_ID","CK_SiteID","CK_RoomID","Type","Sub-Type","Area","Area_Notes","Quantity","Quantity_Notes","Frame / Body Type","Glazing Type","Window Direction","Window Frame Category","Glazing Frame Category","U-Value","U-Value_Notes","Window UA","Window UA_Notes","Notes"
"Window_00006447","SITE_01767","Room_00021641","Window","Slider",38.5139,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,17.0000,,"N/A"
"Window_00006448","SITE_01767","Room_00021643","Window","Slider",38.5139,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,17.0000,,"N/A"
"Window_00006449","SITE_01921","Room_00023338","Window","Slider",39.3333,,1,,"Aluminum","Double","NW","Metal","Double",0.6600,,25.7600,,"N/A"
"Window_00006450","SITE_01921","Room_00023338","Door","Single",20.0000,,1,,"Wood Hollow","None","N/A","N/A","N/A",0.4500,,9.0000,,"N/A"
"Window_00006451","SITE_01920","Room_00023319","Skylight","Fixed (picture)",6.3889,,1,,"Vinyl","Double","North","N/A","N/A",0.6000,,3.8300,,"N/A"
"Window_00006452","SITE_01920","Room_00023319","Window","Single-hung",5.1944,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.2900,,"N/A"
"Window_00006453","SITE_01920","Room_00023320","Window","Slider",16.1111,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.1100,,"N/A"
"Window_00006454","SITE_01920","Room_00023320","Window","Fixed (picture)",5.5556,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.4500,,"N/A"
"Window_00006455","SITE_01920","Room_00023320","Window","Fixed (picture)",5.5556,,1,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.4500,,"N/A"
"Window_00006456","SITE_01920","Room_00023321","Window","Slider",16.1111,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.1100,,"N/A"
"Window_00006457","SITE_01920","Room_00023321","Window","Fixed (picture)",5.5556,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.4500,,"N/A"
"Window_00006458","SITE_01920","Room_00023321","Window","Fixed (picture)",5.5556,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.4500,,"N/A"
"Window_00006459","SITE_01920","Room_00023322","Window","Slider",19.4444,,1,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,8.5800,,"N/A"
"Window_00006460","SITE_01920","Room_00023322","Window","Slider",19.4444,,2,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,17.1700,,"N/A"
"Window_00006461","SITE_01747","Room_00021458","Window","Slider",18.8472,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,23.1200,,"N/A"
"Window_00006462","SITE_01747","Room_00021458","Door","Single",20.0000,,1,,"Wood Hollow","None","N/A","N/A","N/A",0.4500,,9.0000,,"N/A"
