CK_SiteID,Building Size,Region,County,City,State,Zip,Zip_notes,Heating Zone,Heating Zone_notes,Cooling Zone,Cooling Zone_notes,Electric Utility,Gas Utility,BPA Utility,Strata Territory,Strata Population Estimate,Strata Population Estimate_notes,Site Case Weight,Site Case Weight_Notes,Site Visit Date,Site Visit Date_notes,Vintage,Vintage_notes,N Floors,N Floors_notes,In MF Complex,Qty Buildings in Complex,Qty Buildings in Complex_notes,Qty Studio Units,Qty Studio Units_notes,Qty One-Bedroom Units,Qty One-Bedroom Units_notes,Qty Two-Bedroom Units,Qty Two-Bedroom Units_notes,Qty Three-Bedroom Units,Qty Three-Bedroom Units_notes,Qty Four-Bedroom Units,Qty Four-Bedroom Units_notes,Total Units in Building,Total Units in Building_notes,Limited to 55 or Older,Limited to Low Income,Construction,Framing Type,Foundation Type,Commercial Space in Building,Parking Provided,Parking Lot,Covered Lot,Open Garage,Enclosed Garage,Parking Area Directly Illuminated,Parking Area (sq ft),Parking Area (sq ft)_notes,Parking Stalls,Parking Stalls_notes,Parking Reserved for Commercial,Parking Reserved for Commercial_notes,Parking Notes,Interior Building Common Areas,Elevator Qty,Elevator Qty_notes,Pool Type,Pool Cover,Pool Solar Assist,Pool Location,Pool Heating Fuel,Pool Availability (months),Pool Availability (months)_notes,Qty Residential Floors,Qty Residential Floors_notes,Qty Non-Residential Floors,Qty Non-Residential Floors_notes,Qty Parking Floors,Qty Parking Floors_notes,Qty Storage/Mechanical Floors,Qty Storage/Mechanical Floors_notes,Residential Area (sq ft),Residential Area (sq ft)_notes,Interior Common Area (sq ft),Interior Common Area (sq ft)_notes,Total Enclosed Area (sq ft),Total Enclosed Area (sq ft)_notes,Commercial Area (sq ft),Commercial Area (sq ft)_notes,Grocery Area (sq ft),Grocery Area (sq ft)_notes,Office Area (sq ft),Office Area (sq ft)_notes,Retail Area (sq ft),Retail Area (sq ft)_notes,Other Commercial Area (sq ft),Other Commercial Area (sq ft)_notes,Vacant Area (sq ft),Vacant Area (sq ft)_notes,Total Ceiling Area,Total Ceiling Area_notes,Total Ceiling U-Value,Total Ceiling U-Value_notes,Ceiling UA,Ceiling UA-Notes,Total Wall Area,Total Wall Area_notes,Total Wall U-Value,Total Wall U-Value_notes,Wall UA,Wall UA_notes,Total Floor Area,Total Floor Area_notes,Total Floor U-Value,Total Floor U-Value_notes,Floor UA,Floor UA_notes,Total Window Area,Total Window Area_notes,Window UA,Window UA_notes,Whole House UA,Whole House UA_notes,Area of Conditioned Common Space,Area of Conditioned Common Space_notes,Total Residential Floor Area,Total Residential Floor Area_notes,Total Non-Residential Floor Area,Total Non-Residential Floor Area_notes,Total Conditioned Area,Total Conditioned Area_notes,Primary Heating System,Primary Heating Fuel,Primary Cooling System,Central Building Heat,Common Area Primary Heating System,Common Area Primary Heating Fuel,Common Area Primary Cooling System,Annual Residential Electric Usage (kWh),Annual Residential Electric Usage (kWh)_notes,Annual Non-Residential Electric Usage (kWh),Annual Non-Residential Electric Usage (kWh)_notes,Annual Electric Usage (kWh),Annual Electric Usage (kWh)_notes,Annual Residential Gas Usage (Therms),Annual Residential Gas Usage (Therms)_notes,Annual Non-Residential Gas Usage (Therms),Annual Non-Residential Gas Usage (Therms)_notes,Annual Gas Usage (Therms),Annual Gas Usage (Therms)_notes,Annual Residential Electric Usage (kBtu),Annual Residential Electric Usage (kBtu)_notes,Annual Non-Residential Electric Usage (kBtu),Annual Non-Residential Electric Usage (kBtu)_notes,Annual Electric Usage (kBtu),Annual Electric Usage (kBtu)_notes,Annual Residential Gas Usage (kBtu),Annual Residential Gas Usage (kBtu)_notes,Annual Non-Residential Gas Usage (kBtu),Annual Non-Residential Gas Usage (kBtu)_notes,Annual Gas Usage (kBtu),Annual Gas Usage (kBtu)_notes
BLDG_00289,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98101,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/3/2017 0:00,,,Unknown,6,,No,1,,65,,0,,0,,0,,0,,65,,No,Yes,Frame,Wood,> 90% Unconditioned Basement,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,N/A,NA,NA,NA,NA,,NA,5,,1,,0,,1,,36309,,1815.45,,38124.45,,0,,0,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,3660.8,,24.9,,,Exclude,1815.5,,36309,,0,,38124.5,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,3327.1,,,N/A,216259.8,,,N/A,,N/A,,N/A,11352,,,N/A,737878.4,,,N/A,,N/A,,N/A
BLDG_00291,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98105,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/2/2017 0:00,,2009,,4.5,,No,1,,0,,95,,0,,0,,0,,95,,Yes,Yes,Frame over concrete slab,Wood,> 90% Slab,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,N/A,NA,NA,NA,NA,,NA,4,,2,,1,,0,,57024,,5376,,90912,,14256,,0,,14256,,0,,0,,0,,14256,,0.0253,,360.5,,18000,,0.0489,,879.8,,14256,,0.023,,328.5,,8577.7,,39.9,,5355.2,,5376,,57024,,28512,,90912,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,3986,,,N/A,378672.4,,,N/A,,N/A,,N/A,13600.3,,,N/A,1292030.2,,,N/A,,N/A,,N/A
BLDG_00292,Apartment Building (More than 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98105,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/2/2017 0:00,,1971,,10,,No,1,,0,,27,,69,,0,,0,,96,,No,Yes,Rigid frame (concrete or steel),Concrete,Other,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,N/A,NA,NA,NA,NA,,NA,10,,0,,0,,0,,65000,,,NA,65000,,,NA,,NA,,NA,,NA,,NA,,NA,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,5426,,24.9,,,Exclude,0,,65000,,0,,65000,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,4215.8,,,N/A,404721.1,,,N/A,,N/A,,N/A,14384.5,,,N/A,1380908.5,,,N/A,,N/A,,N/A
BLDG_00293,Apartment Building (More than 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98109,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/3/2017 0:00,,1975,,7,,No,1,,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,24,,No,No,Unknown,Unknown,Other,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,6,,1,,0,,1,,33928,,2392,,31536,,0,,0,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,3997.5,,98.5,,,Exclude,2392,,31536,,0,,33928,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,6813.2,,,N/A,163517.6,,474.1,,,N/A,11377.7,,23246.7,,,N/A,557922,,47407.1,,,N/A,1137770.6,
BLDG_00294,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98109,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/15/2017 0:00,,1997,,6,,No,1,,10,,31,,24,,0,,0,,65,,No,Yes,Frame,Wood,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,5,,1,,2,,0,,46200,,5800,,60800,,4400,,0,,4400,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,3863.8,,26.2,,,Exclude,5800,,46200,,8800,,60800,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,3325.6,,,N/A,216166.9,,,N/A,,N/A,,N/A,11347.1,,,N/A,737561.4,,,N/A,,N/A,,N/A
BLDG_00295,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98115,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/17/2017 0:00,,2002,,2,,Yes,8,,6,,6,,6,,6,,0,,24,,No,No,Frame,Wood,Mixed Conditioned Basement and Slab,No,No,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,No,0,,Pool - heated,Yes,No,Outdoor,Unknown,,NA,2,,0,,0,,0,,15660,,,NA,15660,,,NA,,NA,,NA,,NA,,NA,,NA,7830,,0.0446,,349.6,,10826,,0.1184,,1281.6,,7830,,0.0798,,624.8,,2526.5,,46.5,,3371.3,,0,,15660,,0,,15660,,Electric Baseboard,Electric,Packaged AC,N/A,N/A,N/A,N/A,5834.4,,,N/A,140025.3,,,N/A,,N/A,,N/A,19906.9,,,N/A,477766.2,,,N/A,,N/A,,N/A
BLDG_00296,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98117,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/7/2017 0:00,,1985,,3,,No,1,,5,,5,,5,,0,,0,,15,,No,No,Frame,Wood,> 90% Slab,No,Yes,No,Yes,No,No,NA,740,,4,,0,,NA,Yes,0,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,1,,11598,,0,,11598,,0,,0,,0,,0,,0,,0,,4679,,0.0253,,118.3,,6532,,0.0838,,547.3,,4679,,0.0681,,318.7,,787.5,,34.4,,1500.1,,0,,11598,,0,,11598,,Mini-split HP,Electric,Mini-split HP,N/A,Zonal Heat,Unknown,N/A,6276.7,,,N/A,94150.9,,,N/A,,N/A,,N/A,21416.2,,,N/A,321242.9,,,N/A,,N/A,,N/A
BLDG_00297,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98118,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/22/2017 0:00,,1957,,3,,No,1,,0,,10,,2,,0,,0,,12,,No,No,Unknown,Unknown,Unknown,No,Yes,Yes,No,No,No,NA,3768,,11,,0,,NA,No,0,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,8586,,,NA,8586,,,NA,,NA,,NA,,NA,,NA,,NA,2862,,,Exclude,,Exclude,7008,,0.1074,,752.6,,2862,,,Exclude,,Exclude,951.6,,35,,,Exclude,0,,8586,,0,,8586,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,6952.6,,,N/A,83430.9,,,N/A,,N/A,,N/A,23722.2,,,N/A,284666.2,,,N/A,,N/A,,N/A
BLDG_00298,Apartment Building (More than 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98121,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/2/2017 0:00,,2008,,13,,No,1,,0,,260,,0,,0,,0,,153,,No,No,Frame,Wood,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,Unknown,Unknown,Unknown,Indoor,Unknown,,Unknown,12.5,,0.5,,4,,0,,139842,,13658,,183500,,15000,,0,,0,,4000,,11000,,0,,17250,,0.0253,,436.2,,68900,,0.0489,,3367.5,,17250,,0.0326,,562.1,,40029.7,,115.5,,22036,,13658,,139842,,30000,,183500,,Stove/Fireplace,Natural Gas,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00299,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98122,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/7/2017 0:00,,1983,,2,,No,1,,0,,8,,0,,0,,0,,8,,No,No,Frame,Wood,> 90% Conditioned Basement,No,Yes,Yes,No,No,No,NA,2090,,8,,0,,NA,No,0,,N/A,NA,NA,NA,NA,,NA,2,,0,,0,,0,,5520,,,NA,5520,,,NA,,NA,,NA,,NA,,NA,,NA,2760,,0.0404,,111.5,,4944,,0.0776,,383.8,,2760,,0.0935,,258,,528.4,,43.1,,1098.2,,0,,5520,,0,,5520,,Stove/Fireplace,Wood (cord),Packaged AC,N/A,N/A,N/A,N/A,6246,,,N/A,49967.9,,,N/A,,N/A,,N/A,21311.3,,,N/A,170490.3,,,N/A,,N/A,,N/A
