station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KAST,GHCND:USW00094224,2010-03-16,46.4,53.8,39.0,19.0,0.0
KAST,GHCND:USW00094224,2010-03-17,46.5,53.9,39.1,19.0,0.0
KAST,GHCND:USW00094224,2010-03-18,46.6,54.0,39.2,18.0,0.0
KAST,GHCND:USW00094224,2010-03-19,46.6,54.1,39.2,18.0,0.0
KAST,GHCND:USW00094224,2010-03-20,46.7,54.1,39.3,18.0,0.0
KAST,GHCND:USW00094224,2010-03-21,46.8,54.2,39.4,18.0,0.0
KAST,GHCND:USW00094224,2010-03-22,46.9,54.3,39.5,18.0,0.0
KAST,GHCND:USW00094224,2010-03-23,46.9,54.3,39.5,18.0,0.0
KAST,GHCND:USW00094224,2010-03-24,47.0,54.4,39.6,18.0,0.0
KAST,GHCND:USW00094224,2010-03-25,47.1,54.5,39.7,18.0,0.0
KAST,GHCND:USW00094224,2010-03-26,47.1,54.5,39.7,18.0,0.0
KAST,GHCND:USW00094224,2010-03-27,47.2,54.6,39.8,18.0,0.0
KAST,GHCND:USW00094224,2010-03-28,47.2,54.7,39.8,18.0,0.0
KAST,GHCND:USW00094224,2010-03-29,47.3,54.7,39.9,18.0,0.0
KAST,GHCND:USW00094224,2010-03-30,47.4,54.8,39.9,18.0,0.0
KAST,GHCND:USW00094224,2010-03-31,47.4,54.9,40.0,18.0,0.0
KAST,GHCND:USW00094224,2010-04-01,47.5,54.9,40.0,18.0,0.0
KAST,GHCND:USW00094224,2010-04-02,47.5,55.0,40.0,17.0,0.0
KAST,GHCND:USW00094224,2010-04-03,47.6,55.1,40.1,17.0,0.0
KAST,GHCND:USW00094224,2010-04-04,47.7,55.2,40.1,17.0,0.0
KAST,GHCND:USW00094224,2010-04-05,47.7,55.3,40.2,17.0,0.0
KAST,GHCND:USW00094224,2010-04-06,47.8,55.3,40.2,17.0,0.0
KAST,GHCND:USW00094224,2010-04-07,47.8,55.4,40.3,17.0,0.0
KAST,GHCND:USW00094224,2010-04-08,47.9,55.5,40.3,17.0,0.0
KAST,GHCND:USW00094224,2010-04-09,48.0,55.6,40.4,17.0,0.0
KAST,GHCND:USW00094224,2010-04-10,48.1,55.7,40.4,17.0,0.0
KAST,GHCND:USW00094224,2010-04-11,48.1,55.8,40.5,17.0,0.0
KAST,GHCND:USW00094224,2010-04-12,48.2,55.9,40.5,17.0,0.0
KAST,GHCND:USW00094224,2010-04-13,48.3,56.0,40.6,17.0,0.0
KAST,GHCND:USW00094224,2010-04-14,48.4,56.1,40.7,17.0,0.0
KAST,GHCND:USW00094224,2010-04-15,48.5,56.2,40.8,17.0,0.0
KAST,GHCND:USW00094224,2010-04-16,48.6,56.3,40.8,16.0,0.0
KAST,GHCND:USW00094224,2010-04-17,48.7,56.5,40.9,16.0,0.0
KAST,GHCND:USW00094224,2010-04-18,48.8,56.6,41.0,16.0,0.0
KAST,GHCND:USW00094224,2010-04-19,48.9,56.7,41.1,16.0,0.0
KAST,GHCND:USW00094224,2010-04-20,49.0,56.8,41.2,16.0,0.0
KAST,GHCND:USW00094224,2010-04-21,49.2,57.0,41.4,16.0,0.0
KAST,GHCND:USW00094224,2010-04-22,49.3,57.1,41.5,16.0,0.0
KAST,GHCND:USW00094224,2010-04-23,49.4,57.2,41.6,16.0,0.0
KAST,GHCND:USW00094224,2010-04-24,49.6,57.4,41.7,15.0,0.0
KAST,GHCND:USW00094224,2010-04-25,49.7,57.5,41.9,15.0,0.0
KAST,GHCND:USW00094224,2010-04-26,49.8,57.7,42.0,15.0,0.0
KAST,GHCND:USW00094224,2010-04-27,50.0,57.8,42.2,15.0,0.0
KAST,GHCND:USW00094224,2010-04-28,50.1,58.0,42.3,15.0,0.0
KAST,GHCND:USW00094224,2010-04-29,50.3,58.1,42.5,15.0,-7777.0
KAST,GHCND:USW00094224,2010-04-30,50.5,58.3,42.7,15.0,-7777.0
KAST,GHCND:USW00094224,2010-05-01,50.6,58.4,42.8,14.0,-7777.0
KAST,GHCND:USW00094224,2010-05-02,50.8,58.5,43.0,14.0,-7777.0
KAST,GHCND:USW00094224,2010-05-03,50.9,58.7,43.2,14.0,-7777.0
KAST,GHCND:USW00094224,2010-05-04,51.1,58.8,43.4,14.0,-7777.0
KAST,GHCND:USW00094224,2010-05-05,51.3,59.0,43.6,14.0,-7777.0
KAST,GHCND:USW00094224,2010-05-06,51.4,59.1,43.7,14.0,-7777.0
KAST,GHCND:USW00094224,2010-05-07,51.6,59.3,43.9,13.0,-7777.0
KAST,GHCND:USW00094224,2010-05-08,51.8,59.4,44.1,13.0,-7777.0
KAST,GHCND:USW00094224,2010-05-09,51.9,59.6,44.3,13.0,-7777.0
KAST,GHCND:USW00094224,2010-05-10,52.1,59.7,44.5,13.0,-7777.0
KAST,GHCND:USW00094224,2010-05-11,52.3,59.8,44.7,13.0,-7777.0
KAST,GHCND:USW00094224,2010-05-12,52.4,60.0,44.9,13.0,-7777.0
KAST,GHCND:USW00094224,2010-05-13,52.6,60.1,45.1,12.0,-7777.0
KAST,GHCND:USW00094224,2010-05-14,52.8,60.2,45.3,12.0,-7777.0
KAST,GHCND:USW00094224,2010-05-15,52.9,60.4,45.5,12.0,-7777.0
KAST,GHCND:USW00094224,2010-05-16,53.1,60.5,45.7,12.0,-7777.0
KAST,GHCND:USW00094224,2010-05-17,53.2,60.6,45.9,12.0,-7777.0
KAST,GHCND:USW00094224,2010-05-18,53.4,60.7,46.0,12.0,-7777.0
KAST,GHCND:USW00094224,2010-05-19,53.5,60.8,46.2,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-20,53.7,61.0,46.4,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-21,53.8,61.1,46.6,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-22,54.0,61.2,46.8,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-23,54.1,61.3,46.9,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-24,54.2,61.4,47.1,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-25,54.4,61.5,47.3,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-26,54.5,61.6,47.4,11.0,-7777.0
KAST,GHCND:USW00094224,2010-05-27,54.6,61.7,47.6,10.0,-7777.0
