NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",34775,,480,,14190,,602,,409,,106,,17497,,689,,258,,113,,8,,13,,2002,,264,,48,,30,,184,,83,,179,,85,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",153822,,928,,70936,,989,,3177,,363,,65894,,1287,,3353,,374,,0,,28,,8643,,593,,163,,128,,1233,,251,,423,,142,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15976,,449,,6887,,394,,440,,119,,6074,,356,,742,,136,,4,,8,,1670,,199,,11,,14,,89,,47,,59,,54,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19213,,330,,6152,,433,,232,,104,,9975,,435,,454,,120,,0,,28,,2191,,252,,0,,28,,180,,85,,29,,25,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",26473,,519,,1518,,299,,813,,204,,17416,,645,,1017,,187,,0,,28,,5029,,420,,77,,79,,488,,141,,115,,66,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",148752,,787,,25992,,820,,1246,,197,,107574,,1198,,1028,,201,,0,,28,,10419,,622,,85,,51,,1410,,264,,998,,250,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",20674,,570,,4668,,327,,334,,87,,13133,,497,,149,,70,,10,,14,,2102,,238,,0,,25,,184,,83,,94,,53,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",46265,,516,,17252,,671,,966,,229,,22959,,813,,356,,107,,0,,28,,4029,,313,,40,,46,,554,,172,,109,,53,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",116077,,796,,48767,,1195,,1214,,235,,58624,,1249,,1763,,250,,0,,28,,4753,,476,,93,,91,,599,,135,,264,,103,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",318173,,1285,,159968,,1896,,3770,,381,,134784,,1900,,11329,,624,,13,,20,,4619,,448,,134,,79,,1600,,229,,1956,,327,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",29128,,445,,10154,,542,,443,,171,,15475,,656,,481,,137,,8,,14,,2209,,286,,12,,19,,218,,115,,128,,81,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",212778,,868,,109957,,1217,,2409,,310,,92896,,1286,,2032,,282,,6,,10,,4099,,346,,217,,113,,567,,160,,595,,153,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",35952,,440,,8657,,498,,744,,149,,23049,,657,,418,,96,,24,,38,,2647,,319,,2,,5,,309,,103,,102,,58,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",167717,,860,,55694,,985,,2084,,342,,101574,,1105,,1274,,249,,18,,18,,5896,,485,,16,,18,,667,,166,,494,,107,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8247,,302,,1473,,248,,289,,103,,4651,,358,,190,,65,,0,,22,,1575,,241,,0,,22,,67,,42,,2,,3,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4713,,148,,546,,107,,177,,48,,2756,,163,,90,,40,,0,,19,,1090,,152,,9,,13,,36,,20,,9,,11,,0500000US53059,"Skamania County, Washington",0500000US53059
