NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",37370,,455,,14913,,623,,533,,132,,19556,,683,,97,,54,,0,,30,,1726,,234,,31,,30,,179,,88,,335,,106,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",159553,,832,,72305,,1395,,3814,,483,,71800,,1293,,2115,,336,,26,,36,,7250,,632,,170,,77,,1549,,278,,524,,171,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",16649,,497,,7449,,440,,386,,119,,6967,,577,,509,,139,,7,,13,,1134,,178,,18,,20,,114,,52,,65,,42,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19933,,334,,6280,,494,,438,,191,,10538,,550,,462,,195,,0,,30,,1994,,283,,10,,18,,123,,76,,88,,70,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",27627,,528,,1422,,240,,654,,184,,18832,,739,,774,,182,,0,,30,,5179,,485,,22,,21,,561,,134,,183,,95,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",157183,,721,,27867,,1085,,1668,,300,,116742,,1568,,611,,171,,19,,29,,8493,,771,,115,,69,,939,,225,,729,,152,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",22093,,510,,5388,,408,,459,,124,,13980,,554,,71,,35,,0,,27,,1942,,319,,0,,27,,125,,63,,128,,62,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49113,,440,,17930,,740,,989,,200,,25008,,830,,339,,145,,0,,30,,3860,,416,,61,,70,,801,,242,,125,,85,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121132,,744,,51000,,1237,,1745,,397,,61576,,1321,,1338,,291,,0,,30,,4195,,482,,135,,79,,565,,166,,578,,204,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",339228,,1340,,163226,,1960,,3964,,432,,157957,,2088,,7536,,620,,102,,68,,2565,,354,,150,,66,,1604,,314,,2124,,392,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",31742,,386,,11676,,625,,438,,147,,17158,,727,,333,,171,,0,,30,,1847,,336,,42,,59,,201,,123,,47,,44,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",226412,,789,,115261,,1750,,2563,,357,,101852,,1805,,1608,,281,,0,,30,,3655,,444,,273,,121,,433,,164,,767,,222,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",38083,,345,,9215,,635,,897,,308,,24358,,817,,466,,130,,0,,30,,2570,,318,,9,,14,,386,,138,,182,,128,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",184173,,736,,61635,,1423,,2088,,420,,112760,,1442,,1093,,264,,25,,36,,5109,,588,,14,,19,,768,,207,,681,,197,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9332,,234,,1654,,299,,445,,146,,5409,,389,,183,,54,,0,,24,,1537,,260,,37,,56,,67,,54,,0,,24,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4723,,146,,507,,110,,343,,111,,2507,,215,,26,,20,,6,,10,,1248,,191,,27,,34,,27,,21,,32,,34,,0500000US53059,"Skamania County, Washington",0500000US53059
