NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",34193,,505,,14062,,604,,388,,108,,16841,,608,,314,,114,,6,,10,,2188,,263,,53,,41,,219,,71,,122,,64,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",151150,,712,,69699,,1056,,3107,,320,,64376,,1027,,3303,,395,,0,,28,,9066,,544,,149,,113,,1146,,263,,304,,125,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15876,,370,,6977,,342,,388,,107,,5853,,433,,790,,142,,0,,25,,1709,,163,,0,,25,,94,,45,,65,,63,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",18941,,279,,6116,,375,,258,,113,,9705,,455,,411,,87,,0,,25,,2241,,256,,0,,25,,186,,99,,24,,24,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",25755,,565,,1524,,269,,684,,169,,17051,,602,,1071,,218,,0,,28,,4737,,442,,117,,93,,480,,121,,91,,62,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",146692,,720,,25662,,847,,1194,,153,,105744,,1041,,1030,,200,,0,,28,,10647,,536,,50,,38,,1454,,232,,911,,196,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",20434,,453,,4563,,290,,310,,78,,13012,,462,,154,,77,,9,,15,,2075,,231,,0,,25,,250,,96,,61,,47,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",45378,,551,,16832,,585,,759,,180,,22772,,789,,299,,120,,0,,28,,4062,,369,,20,,30,,528,,142,,106,,52,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",115196,,806,,48352,,976,,1180,,245,,57981,,1283,,1789,,264,,9,,14,,4925,,424,,51,,57,,614,,144,,295,,122,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",313181,,1375,,158108,,1825,,3385,,314,,130193,,1755,,13145,,688,,14,,22,,4923,,404,,102,,59,,1555,,295,,1756,,272,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",28725,,397,,10124,,447,,439,,167,,14993,,557,,587,,171,,8,,12,,2306,,281,,11,,18,,152,,74,,105,,80,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",209309,,1027,,107585,,1530,,2202,,324,,91850,,1534,,2089,,268,,7,,10,,4331,,396,,190,,101,,484,,165,,571,,185,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",35002,,417,,8150,,514,,822,,133,,22397,,658,,504,,123,,20,,35,,2653,,254,,2,,4,,296,,108,,158,,92,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",164354,,721,,53701,,1213,,1906,,254,,100317,,1139,,1262,,246,,25,,25,,5932,,410,,16,,17,,755,,160,,440,,96,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8069,,311,,1403,,251,,382,,102,,4428,,323,,208,,70,,0,,22,,1581,,229,,0,,22,,65,,35,,2,,3,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4577,,125,,564,,96,,163,,62,,2793,,168,,81,,33,,0,,19,,923,,132,,8,,13,,37,,24,,8,,12,,0500000US53059,"Skamania County, Washington",0500000US53059
