NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36051,,535,,14333,,605,,509,,137,,18634,,640,,149,,64,,0,,30,,1863,,259,,39,,36,,278,,113,,246,,110,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",159330,,657,,72455,,1556,,3251,,452,,71535,,1699,,2249,,293,,5,,9,,7578,,637,,228,,100,,1519,,281,,510,,196,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",16019,,399,,7145,,413,,421,,121,,6487,,478,,514,,115,,5,,14,,1263,,195,,17,,20,,105,,58,,62,,48,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19872,,326,,6377,,497,,444,,196,,10332,,582,,424,,202,,0,,30,,2039,,274,,9,,14,,171,,82,,76,,62,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",27819,,496,,1328,,276,,539,,132,,18668,,763,,1051,,279,,0,,30,,5388,,555,,31,,26,,626,,187,,188,,96,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",154516,,787,,26883,,937,,1389,,347,,114874,,1181,,674,,199,,16,,24,,8937,,627,,104,,61,,856,,199,,783,,216,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",21841,,574,,4899,,400,,397,,111,,13892,,575,,74,,44,,0,,27,,2379,,471,,0,,27,,105,,58,,95,,49,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48290,,477,,17766,,687,,1057,,230,,24104,,922,,432,,157,,0,,30,,4091,,486,,67,,50,,657,,200,,116,,68,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",120474,,912,,49682,,1337,,1752,,476,,62350,,1479,,1308,,227,,0,,30,,4478,,438,,105,,68,,467,,131,,332,,96,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",334849,,1194,,163283,,2308,,4056,,422,,152283,,2179,,8399,,606,,55,,49,,2916,,364,,193,,92,,1607,,312,,2057,,384,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30726,,461,,11099,,504,,417,,125,,16574,,727,,397,,196,,0,,30,,1855,,339,,41,,64,,240,,124,,103,,81,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",223040,,1044,,114262,,1807,,2767,,424,,99292,,1797,,1630,,326,,13,,20,,3575,,384,,276,,97,,488,,187,,737,,227,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37542,,437,,8910,,665,,771,,223,,24258,,801,,393,,114,,20,,33,,2601,,363,,12,,14,,438,,142,,139,,95,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",178478,,747,,59168,,1540,,2224,,375,,109158,,1631,,1047,,243,,35,,33,,5623,,556,,0,,30,,776,,177,,447,,141,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9268,,237,,1758,,260,,374,,126,,5207,,404,,181,,67,,0,,24,,1664,,231,,0,,24,,82,,65,,2,,5,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4866,,145,,616,,130,,311,,92,,2582,,221,,43,,23,,4,,6,,1219,,177,,27,,35,,53,,33,,11,,17,,0500000US53059,"Skamania County, Washington",0500000US53059
