NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",33384,,461,,13456,,461,,530,,166,,16251,,585,,274,,114,,0,,28,,2526,,247,,39,,30,,158,,58,,150,,98,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",146527,,937,,67146,,1145,,3308,,360,,61092,,1365,,4415,,520,,15,,24,,8972,,536,,86,,82,,1301,,314,,192,,135,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15749,,366,,6639,,353,,336,,104,,6250,,403,,783,,137,,0,,25,,1584,,192,,0,,25,,119,,67,,38,,33,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19069,,260,,6119,,365,,256,,78,,9668,,448,,456,,104,,0,,25,,2270,,261,,0,,25,,249,,103,,51,,48,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",26072,,569,,1137,,215,,865,,209,,16872,,673,,1310,,223,,0,,28,,5030,,465,,91,,90,,664,,195,,103,,91,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",144912,,977,,25591,,824,,1369,,239,,104358,,1316,,1156,,197,,0,,28,,10572,,652,,33,,24,,1296,,233,,537,,134,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",20913,,524,,4561,,392,,329,,106,,13285,,534,,177,,79,,0,,25,,2249,,270,,0,,25,,276,,92,,36,,28,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",44722,,532,,16713,,646,,676,,156,,21976,,712,,523,,166,,0,,28,,4349,,380,,0,,28,,418,,110,,67,,46,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",113285,,765,,48449,,1025,,1252,,222,,55153,,1053,,2305,,261,,15,,17,,5201,,424,,9,,17,,626,,146,,275,,115,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",305939,,1489,,153832,,1705,,2502,,287,,124323,,1843,,17373,,652,,23,,30,,5165,,421,,45,,43,,1407,,262,,1269,,231,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",28239,,469,,10609,,562,,362,,138,,14110,,639,,763,,180,,0,,28,,2119,,288,,13,,21,,166,,83,,97,,83,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",201771,,975,,105220,,1438,,2081,,313,,86698,,1306,,2409,,302,,0,,28,,4531,,369,,77,,58,,396,,132,,359,,118,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",34138,,503,,8644,,421,,793,,158,,20798,,520,,581,,143,,0,,28,,2891,,305,,0,,28,,325,,143,,106,,86,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",158855,,904,,52289,,1041,,1762,,259,,95986,,1358,,1431,,247,,10,,15,,6422,,476,,28,,31,,596,,135,,331,,108,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8019,,231,,1415,,219,,470,,135,,4215,,307,,335,,102,,0,,22,,1495,,212,,7,,7,,77,,47,,5,,8,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4452,,154,,468,,96,,187,,67,,2800,,163,,42,,22,,0,,19,,952,,158,,0,,19,,3,,6,,0,,19,,0500000US53059,"Skamania County, Washington",0500000US53059
