NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",33502,,430,,13220,,488,,491,,121,,16782,,653,,275,,117,,0,,29,,2436,,253,,19,,20,,171,,64,,108,,58,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",145004,,1070,,67481,,1210,,3147,,371,,60044,,1291,,4309,,402,,12,,20,,8528,,616,,27,,23,,1272,,265,,184,,129,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15757,,362,,6317,,382,,227,,92,,6498,,423,,873,,161,,0,,26,,1645,,219,,0,,26,,111,,54,,86,,85,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19060,,279,,5983,,373,,349,,84,,9678,,474,,583,,149,,0,,26,,2220,,276,,0,,26,,198,,88,,49,,44,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",26567,,475,,975,,173,,835,,186,,17081,,610,,1424,,252,,0,,29,,5155,,406,,62,,67,,928,,243,,107,,107,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",145474,,975,,25498,,958,,1397,,253,,105063,,1372,,1182,,208,,0,,29,,10584,,622,,33,,30,,1290,,233,,427,,119,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",21039,,567,,4319,,373,,353,,108,,13400,,606,,296,,151,,0,,26,,2398,,266,,0,,26,,228,,102,,45,,33,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",44566,,593,,16868,,714,,651,,163,,21556,,709,,633,,195,,0,,29,,4339,,414,,0,,29,,445,,132,,74,,44,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",113227,,878,,48981,,1179,,1219,,203,,54099,,1312,,2584,,251,,17,,19,,5522,,481,,0,,29,,524,,144,,281,,129,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",303654,,1375,,152069,,1708,,2287,,290,,122363,,1861,,19174,,825,,22,,27,,4872,,412,,62,,49,,1567,,278,,1238,,218,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",27973,,430,,10807,,459,,374,,113,,13558,,546,,715,,178,,0,,29,,2241,,275,,10,,16,,178,,101,,90,,84,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",200160,,1056,,106178,,1384,,1863,,253,,84610,,1503,,2383,,295,,0,,29,,4505,,395,,57,,45,,267,,85,,297,,109,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",33920,,480,,8452,,463,,806,,149,,20665,,641,,570,,155,,0,,29,,3051,,308,,0,,29,,322,,115,,54,,67,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",158365,,733,,51760,,974,,1873,,255,,95415,,1282,,1414,,235,,9,,13,,6940,,503,,30,,35,,655,,124,,269,,89,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8294,,226,,1545,,206,,478,,119,,4259,,338,,387,,86,,0,,22,,1542,,220,,8,,10,,67,,41,,8,,11,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4378,,154,,484,,94,,218,,90,,2606,,158,,38,,19,,0,,19,,1017,,131,,0,,19,,4,,4,,11,,15,,0500000US53059,"Skamania County, Washington",0500000US53059
