NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",33427,,429,,13023,,567,,464,,136,,17010,,635,,230,,86,,0,,92,,2421,,243,,11,,18,,153,,63,,115,,64,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",144588,,901,,66804,,1252,,3222,,350,,60291,,1486,,4558,,383,,15,,21,,7982,,577,,31,,26,,1494,,370,,191,,121,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15999,,381,,6406,,379,,255,,86,,6539,,394,,1039,,178,,0,,92,,1582,,235,,0,,92,,114,,70,,64,,59,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19173,,270,,5954,,339,,354,,107,,9683,,436,,682,,155,,0,,92,,2251,,232,,0,,92,,194,,71,,55,,48,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",27077,,416,,856,,175,,899,,171,,17116,,648,,1703,,252,,0,,92,,5401,,459,,29,,29,,957,,240,,116,,92,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",144806,,1077,,25512,,870,,1395,,227,,103679,,1294,,1393,,244,,0,,92,,10912,,619,,32,,25,,1286,,269,,597,,177,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",20769,,554,,4408,,461,,420,,96,,12943,,622,,284,,127,,0,,92,,2487,,283,,0,,92,,167,,69,,60,,39,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",44787,,547,,16834,,572,,674,,152,,21489,,677,,764,,200,,0,,92,,4481,,366,,0,,92,,460,,123,,85,,60,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",112841,,816,,48807,,1126,,1345,,204,,53757,,1106,,2779,,293,,6,,11,,5425,,427,,32,,38,,482,,146,,208,,103,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",302224,,1335,,149466,,1595,,2516,,287,,121470,,1721,,21122,,798,,19,,26,,4564,,418,,83,,54,,1930,,328,,1054,,195,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",28111,,352,,11247,,471,,362,,119,,13284,,550,,848,,210,,0,,92,,2087,,298,,10,,16,,185,,99,,88,,79,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",198593,,997,,104911,,1435,,2023,,264,,84135,,1500,,2538,,348,,0,,92,,4406,,404,,32,,36,,316,,122,,232,,81,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",33804,,466,,8263,,455,,695,,148,,20962,,583,,575,,113,,0,,92,,3003,,377,,0,,92,,306,,125,,0,,92,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",157179,,975,,50943,,1114,,1838,,333,,94821,,1462,,1736,,257,,0,,92,,6889,,549,,30,,36,,651,,158,,271,,90,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8228,,289,,1580,,233,,424,,124,,4035,,306,,411,,103,,0,,92,,1715,,237,,7,,9,,52,,43,,4,,6,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4435,,168,,491,,118,,213,,77,,2576,,233,,68,,36,,0,,92,,1047,,166,,0,,92,,29,,29,,11,,16,,0500000US53059,"Skamania County, Washington",0500000US53059
