NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",35056,,451,,14041,,486,,417,,108,,17957,,665,,245,,94,,7,,11,,1999,,295,,22,,27,,224,,89,,144,,74,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",155456,,776,,72726,,1183,,2756,,328,,66732,,1333,,2937,,391,,0,,28,,8442,,650,,161,,101,,1248,,238,,454,,174,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15910,,387,,6771,,397,,434,,106,,6159,,418,,730,,146,,6,,11,,1607,,195,,11,,14,,120,,62,,72,,58,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19296,,329,,6171,,356,,266,,112,,10090,,403,,414,,121,,0,,28,,2147,,249,,21,,35,,142,,73,,45,,30,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",26640,,550,,1482,,249,,786,,163,,17557,,633,,1002,,199,,0,,28,,5034,,438,,54,,50,,584,,161,,141,,82,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",150780,,818,,26481,,923,,1156,,191,,109767,,1196,,908,,196,,0,,28,,10015,,497,,115,,74,,1344,,263,,994,,251,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",21110,,515,,4801,,383,,377,,89,,13182,,534,,139,,57,,9,,14,,2281,,285,,0,,25,,212,,88,,109,,64,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",47030,,502,,17343,,658,,938,,189,,23390,,797,,291,,93,,0,,28,,4264,,396,,18,,34,,623,,176,,163,,60,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",116861,,940,,48851,,1223,,1261,,217,,59468,,1250,,1688,,254,,0,,28,,4581,,425,,99,,93,,522,,173,,391,,121,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",321968,,1216,,161227,,1907,,3686,,372,,138686,,1995,,10462,,651,,13,,21,,4110,,459,,174,,95,,1708,,267,,1902,,333,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",29692,,416,,10216,,551,,439,,142,,16065,,598,,395,,120,,10,,15,,2193,,298,,15,,23,,253,,114,,106,,63,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",216507,,1013,,111906,,1388,,2324,,317,,94731,,1462,,1808,,274,,8,,13,,4327,,394,,251,,136,,457,,136,,695,,165,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",36197,,465,,8414,,498,,745,,202,,23605,,617,,354,,102,,17,,28,,2563,,279,,3,,4,,423,,115,,73,,47,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",171522,,773,,56718,,1196,,1999,,284,,104611,,1297,,1145,,210,,20,,19,,5783,,432,,17,,17,,755,,192,,474,,108,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8539,,264,,1548,,251,,339,,122,,4873,,316,,137,,65,,0,,22,,1568,,234,,0,,22,,72,,38,,2,,3,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4685,,121,,555,,120,,183,,52,,2767,,176,,67,,30,,0,,19,,1050,,157,,10,,15,,36,,24,,17,,21,,0500000US53059,"Skamania County, Washington",0500000US53059
