NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",38286,,490,,15029,,719,,477,,129,,20621,,684,,124,,61,,0,,31,,1366,,269,,118,,67,,223,,130,,328,,130,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",162762,,690,,73043,,1694,,3931,,429,,75489,,1754,,1716,,272,,67,,48,,6427,,555,,204,,101,,1278,,254,,607,,185,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",18095,,473,,8289,,571,,333,,124,,7575,,535,,468,,123,,0,,28,,1230,,246,,0,,28,,138,,51,,62,,44,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20710,,342,,6764,,526,,476,,210,,10898,,627,,417,,234,,0,,31,,1849,,337,,0,,31,,117,,87,,189,,97,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",28417,,407,,1505,,252,,500,,143,,20044,,631,,708,,177,,0,,31,,4761,,440,,19,,21,,686,,153,,194,,90,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",159509,,808,,28178,,1239,,2193,,409,,119084,,1433,,521,,150,,31,,46,,7759,,647,,56,,39,,984,,259,,703,,214,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",22829,,525,,5578,,440,,522,,159,,14737,,589,,66,,43,,0,,31,,1769,,326,,0,,31,,33,,30,,124,,71,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",50534,,432,,18513,,710,,936,,201,,26684,,882,,239,,129,,0,,31,,3194,,430,,124,,77,,679,,249,,165,,77,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",125413,,727,,52117,,1319,,2017,,405,,64760,,1456,,1130,,268,,5,,9,,3889,,463,,148,,69,,666,,177,,681,,258,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",347392,,1344,,161323,,2317,,4034,,397,,168899,,2580,,6489,,597,,105,,64,,2260,,295,,342,,126,,1608,,305,,2332,,421,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",32574,,375,,11941,,588,,474,,132,,17740,,672,,277,,176,,0,,31,,1952,,306,,52,,61,,32,,26,,106,,80,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",232366,,810,,116380,,1866,,3186,,402,,106841,,1677,,1446,,287,,0,,31,,2865,,417,,278,,101,,379,,147,,991,,270,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",38836,,387,,8910,,547,,996,,279,,25724,,765,,454,,134,,0,,31,,2194,,331,,73,,39,,280,,110,,205,,142,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",193387,,755,,64118,,1329,,2507,,520,,119471,,1426,,891,,233,,9,,13,,4642,,609,,53,,49,,820,,188,,876,,241,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9774,,213,,2012,,325,,526,,157,,5519,,397,,140,,49,,0,,25,,1453,,215,,29,,45,,77,,77,,18,,26,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4965,,142,,666,,147,,396,,126,,2791,,215,,24,,22,,6,,11,,1004,,185,,25,,31,,41,,26,,12,,18,,0500000US53059,"Skamania County, Washington",0500000US53059
