NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",33840,,449,,13784,,419,,401,,111,,16743,,522,,288,,117,,6,,9,,2334,,246,,27,,27,,144,,58,,113,,57,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",149522,,850,,68410,,1120,,3278,,326,,63484,,1064,,3737,,413,,0,,28,,8915,,556,,72,,89,,1331,,269,,295,,124,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15726,,416,,6843,,390,,342,,109,,5929,,432,,789,,135,,0,,25,,1704,,186,,0,,25,,93,,50,,26,,24,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",18785,,306,,5911,,350,,229,,83,,9884,,434,,436,,127,,0,,25,,2107,,263,,0,,25,,197,,108,,21,,21,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",25888,,565,,1389,,235,,768,,183,,17092,,601,,1032,,179,,0,,28,,4878,,428,,122,,90,,537,,118,,70,,52,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",146235,,853,,25978,,869,,1112,,178,,104739,,1110,,1114,,211,,0,,28,,10831,,551,,39,,34,,1571,,256,,851,,212,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",20566,,443,,4522,,330,,339,,96,,13064,,492,,187,,86,,7,,11,,2113,,211,,0,,25,,277,,97,,57,,50,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",45100,,511,,16731,,605,,620,,149,,22499,,604,,307,,93,,0,,28,,4267,,382,,26,,36,,549,,132,,101,,53,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",113996,,863,,48373,,994,,1326,,234,,56218,,1004,,1935,,224,,10,,15,,5027,,469,,50,,71,,748,,165,,309,,120,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",310669,,1070,,156659,,1657,,2972,,296,,128067,,1428,,14412,,671,,36,,38,,5334,,495,,86,,58,,1533,,262,,1570,,255,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",28458,,390,,10153,,547,,231,,91,,14870,,649,,717,,191,,9,,14,,2202,,285,,11,,18,,114,,64,,151,,93,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",206426,,1074,,106938,,1458,,2256,,275,,89204,,1442,,2201,,257,,0,,28,,4689,,411,,137,,102,,486,,158,,515,,134,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",34425,,495,,8522,,447,,828,,173,,21406,,715,,464,,124,,0,,28,,2714,,332,,0,,28,,354,,123,,137,,86,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",162441,,900,,52819,,1240,,1813,,289,,99040,,1429,,1457,,269,,8,,11,,6182,,388,,17,,15,,678,,147,,427,,103,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",7863,,295,,1456,,212,,411,,130,,4161,,330,,224,,77,,0,,22,,1519,,267,,2,,3,,90,,44,,0,,22,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4495,,133,,555,,107,,221,,68,,2700,,170,,69,,28,,0,,19,,934,,138,,0,,19,,9,,9,,7,,10,,0500000US53059,"Skamania County, Washington",0500000US53059
