NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",35718,,469,,14420,,494,,522,,137,,18116,,585,,230,,118,,9,,13,,1929,,222,,43,,37,,206,,89,,243,,121,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",157408,,725,,72218,,1243,,3117,,328,,68939,,1344,,2674,,410,,7,,11,,8261,,620,,227,,123,,1506,,305,,459,,146,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15800,,398,,6965,,454,,433,,126,,6116,,417,,629,,161,,5,,8,,1427,,204,,13,,16,,141,,71,,71,,57,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19671,,298,,6175,,393,,337,,101,,10368,,428,,344,,109,,0,,29,,2246,,301,,17,,28,,146,,65,,38,,28,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",27025,,485,,1473,,241,,767,,209,,17703,,652,,969,,225,,0,,29,,5346,,483,,54,,41,,541,,142,,172,,96,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",152312,,728,,26617,,899,,1159,,230,,111666,,1177,,800,,160,,6,,9,,10121,,620,,86,,58,,946,,170,,911,,238,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",21298,,546,,4903,,352,,451,,113,,13314,,581,,141,,56,,12,,19,,2244,,268,,0,,26,,124,,62,,109,,68,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",47762,,464,,18181,,633,,860,,172,,23347,,675,,359,,150,,0,,29,,4202,,404,,30,,31,,663,,220,,120,,61,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",118038,,834,,49120,,1032,,1284,,229,,60629,,1045,,1523,,241,,0,,29,,4450,,417,,139,,113,,526,,141,,367,,118,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",326229,,1530,,161588,,1953,,3790,,357,,144179,,2005,,9318,,602,,38,,35,,3622,,410,,152,,77,,1741,,279,,1801,,323,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30305,,439,,10671,,517,,506,,166,,16402,,653,,362,,128,,10,,14,,2021,,293,,0,,29,,198,,109,,135,,117,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",219053,,1123,,113609,,1324,,2272,,254,,96109,,1422,,1589,,253,,10,,15,,3997,,403,,298,,114,,457,,137,,712,,152,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",36808,,460,,8547,,506,,731,,176,,24128,,687,,433,,109,,25,,41,,2438,,323,,3,,5,,421,,116,,82,,56,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",174661,,837,,57796,,1169,,1814,,255,,107196,,1279,,1093,,188,,24,,22,,5428,,443,,2,,11,,814,,167,,494,,122,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8877,,295,,1773,,253,,394,,143,,4805,,319,,179,,63,,0,,23,,1668,,254,,0,,23,,56,,34,,2,,3,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4816,,146,,624,,128,,214,,63,,2752,,197,,39,,26,,5,,11,,1104,,147,,8,,12,,51,,34,,19,,16,,0500000US53059,"Skamania County, Washington",0500000US53059
