NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",33052,,642,,12617,,542,,438,,123,,17077,,816,,308,,97,,0,,123,,2327,,244,,0,,123,,185,,68,,100,,60,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",140370,,916,,64004,,1174,,3010,,305,,58495,,1218,,5575,,407,,20,,26,,7589,,510,,78,,58,,1377,,272,,222,,78,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",16126,,394,,6399,,416,,251,,99,,6527,,449,,1379,,191,,0,,123,,1470,,197,,0,,123,,51,,36,,49,,51,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",18436,,253,,5677,,337,,479,,113,,9017,,390,,930,,169,,0,,123,,2050,,274,,18,,20,,192,,69,,73,,62,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",27351,,513,,804,,180,,1200,,229,,17169,,575,,2001,,283,,36,,57,,5006,,514,,17,,21,,995,,250,,123,,93,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",139593,,1057,,24683,,843,,1419,,234,,99118,,1191,,1664,,207,,8,,12,,10573,,585,,21,,23,,1570,,269,,537,,148,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",19888,,662,,4114,,428,,489,,136,,12472,,615,,315,,120,,0,,123,,2305,,327,,3,,6,,140,,58,,50,,32,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",43277,,656,,16218,,663,,554,,152,,20483,,754,,926,,176,,0,,123,,4570,,459,,0,,123,,446,,140,,80,,50,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",111839,,762,,47769,,1016,,1293,,188,,53531,,1093,,3318,,363,,20,,16,,5342,,497,,52,,51,,380,,105,,134,,73,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",290080,,1408,,143761,,1696,,2374,,282,,112644,,1711,,23630,,832,,12,,18,,4518,,423,,81,,44,,2067,,278,,993,,211,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",25572,,873,,10108,,706,,372,,107,,11957,,632,,800,,160,,0,,123,,2115,,282,,0,,123,,190,,106,,30,,33,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",191390,,1240,,100759,,1480,,2117,,235,,80085,,1430,,3134,,366,,0,,123,,4674,,390,,0,,123,,319,,121,,302,,103,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",33562,,451,,8039,,427,,828,,172,,20509,,551,,760,,170,,0,,123,,3140,,340,,9,,14,,249,,99,,28,,37,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",151312,,1267,,47730,,1100,,1793,,286,,91916,,1551,,2138,,277,,48,,46,,6708,,492,,42,,42,,705,,156,,232,,99,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",8249,,215,,1393,,254,,273,,80,,4234,,280,,530,,138,,0,,119,,1800,,265,,0,,119,,19,,20,,0,,119,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4283,,117,,542,,123,,182,,67,,2448,,195,,141,,61,,0,,119,,921,,131,,0,,119,,39,,32,,10,,15,,0500000US53059,"Skamania County, Washington",0500000US53059
