NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",38037,,202,,816,,194,,1111,,212,,5264,,375,,6304,,514,,3330,,390,,8658,,547,,4488,,399,,3025,,332,,2017,,316,,3024,,343,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",165422,,205,,3333,,277,,4899,,430,,22243,,878,,33323,,1076,,22691,,913,,34586,,1055,,16160,,863,,9930,,517,,5905,,569,,12352,,805,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22303,,89,,392,,135,,307,,113,,2618,,286,,3339,,317,,2103,,252,,3365,,370,,1336,,217,,1859,,288,,1877,,212,,5107,,441,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21116,,85,,273,,96,,255,,83,,3151,,338,,3700,,354,,1939,,269,,4104,,362,,1507,,252,,893,,174,,1178,,185,,4116,,360,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30971,,89,,161,,81,,511,,169,,3419,,377,,3323,,417,,3274,,373,,6629,,479,,3377,,375,,4349,,439,,2114,,336,,3814,,392,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",161531,,280,,2385,,357,,3863,,473,,18240,,944,,24389,,860,,15407,,749,,37182,,1037,,22208,,784,,15651,,764,,10338,,637,,11868,,573,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31328,,111,,255,,81,,523,,149,,4213,,368,,5498,,370,,4030,,365,,6557,,445,,3098,,315,,2430,,326,,1997,,314,,2727,,303,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",50011,,171,,736,,182,,800,,195,,7259,,548,,7707,,596,,3332,,356,,10976,,667,,5236,,522,,4526,,502,,3984,,463,,5455,,492,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",125190,,321,,1968,,327,,1905,,325,,15714,,877,,20874,,795,,14110,,769,,31386,,1154,,12596,,756,,10881,,711,,5405,,435,,10351,,711,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",342746,,434,,6655,,536,,7679,,613,,37686,,1218,,37178,,1209,,27554,,1210,,45377,,1433,,32232,,1244,,37632,,1011,,25355,,967,,85398,,1339,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",31762,,95,,625,,140,,770,,226,,6643,,545,,6051,,499,,2993,,367,,5806,,458,,2989,,356,,2017,,263,,1370,,227,,2498,,281,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",226355,,246,,5410,,510,,6794,,552,,39691,,1043,,54836,,1424,,32089,,1052,,47473,,1371,,19194,,931,,10357,,720,,4899,,428,,5612,,515,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",38632,,194,,748,,173,,859,,177,,7409,,522,,7628,,486,,4564,,489,,6780,,535,,2601,,332,,1793,,350,,1641,,247,,4609,,407,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",179523,,185,,5882,,545,,6372,,470,,33954,,958,,45150,,1094,,22036,,740,,31376,,949,,12206,,564,,8859,,534,,5823,,412,,7865,,522,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10301,,81,,146,,79,,374,,136,,1701,,259,,1707,,265,,1107,,235,,2041,,301,,589,,163,,775,,167,,602,,165,,1259,,216,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5818,,44,,60,,33,,127,,46,,1190,,126,,1114,,168,,564,,101,,1445,,136,,377,,79,,234,,80,,263,,69,,444,,111,,0500000US53059,"Skamania County, Washington",0500000US53059
