NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",39636,,227,,132,,106,,3392,,377,,5362,,483,,5647,,549,,3634,,433,,8390,,523,,4777,,470,,2732,,313,,2071,,402,,3499,,473,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",169113,,177,,325,,138,,14099,,937,,22611,,1056,,31317,,1233,,23177,,1152,,34177,,1189,,15536,,921,,9890,,691,,6407,,612,,11574,,820,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22882,,92,,33,,39,,1292,,256,,2630,,389,,3227,,437,,2589,,408,,3125,,377,,1508,,302,,1667,,318,,1748,,281,,5063,,535,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21586,,78,,0,,30,,1004,,224,,3007,,340,,3827,,410,,2367,,362,,3988,,406,,1471,,252,,1147,,269,,1100,,266,,3675,,485,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31283,,83,,88,,84,,881,,240,,3312,,411,,3724,,478,,2757,,374,,6778,,721,,3424,,453,,4191,,474,,2182,,388,,3946,,492,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",165271,,292,,113,,50,,10072,,735,,19262,,890,,25186,,970,,15535,,994,,35881,,1189,,22158,,1131,,14846,,829,,11172,,801,,11046,,812,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31862,,74,,44,,47,,1530,,286,,4346,,377,,5805,,517,,4015,,451,,6422,,533,,2874,,310,,2243,,294,,2089,,269,,2494,,271,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",51515,,118,,157,,117,,3007,,318,,7133,,502,,8473,,676,,4013,,457,,10608,,735,,4839,,505,,4393,,365,,4044,,498,,4848,,458,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",127743,,353,,269,,106,,7492,,708,,15130,,952,,21988,,1183,,12311,,910,,29886,,1235,,13238,,688,,10927,,995,,5018,,524,,11484,,704,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",358675,,480,,704,,197,,28292,,1428,,37474,,1350,,35960,,1472,,30785,,1209,,46860,,1420,,31667,,1169,,37201,,1336,,24809,,1209,,84923,,1897,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",33406,,111,,40,,40,,2925,,504,,6520,,482,,5816,,543,,3283,,427,,6059,,579,,3328,,451,,1928,,342,,1495,,309,,2012,,301,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",234852,,182,,646,,160,,23563,,1073,,38787,,1629,,52226,,1776,,31799,,1191,,45689,,1523,,19534,,1095,,11009,,861,,4989,,455,,6610,,713,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",39742,,143,,66,,47,,3439,,470,,6732,,599,,8353,,686,,4624,,458,,6566,,594,,2460,,383,,2002,,278,,1724,,361,,3776,,430,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",192003,,165,,854,,238,,22831,,1105,,33447,,1100,,44037,,1358,,22077,,957,,32285,,1219,,12681,,802,,9025,,792,,6579,,523,,8187,,656,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10485,,76,,22,,25,,772,,213,,1717,,277,,1604,,315,,1047,,174,,1725,,293,,614,,188,,889,,221,,393,,122,,1702,,297,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5785,,39,,0,,20,,404,,117,,995,,135,,973,,145,,499,,113,,1467,,185,,362,,119,,256,,79,,334,,86,,495,,108,,0500000US53059,"Skamania County, Washington",0500000US53059
