NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",37270,,218,,191,,142,,806,,173,,5309,,383,,6264,,477,,3268,,305,,8836,,486,,4622,,382,,3174,,333,,1927,,248,,2873,,309,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",161005,,163,,823,,204,,3823,,344,,23800,,883,,31933,,1066,,23130,,960,,33560,,1022,,15821,,735,,10316,,647,,5735,,450,,12064,,618,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21869,,105,,143,,82,,312,,86,,2570,,311,,3453,,386,,1935,,272,,3203,,329,,1275,,222,,1960,,284,,2093,,278,,4925,,348,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20707,,77,,103,,60,,211,,78,,3064,,315,,4018,,368,,2022,,271,,3556,,314,,1670,,297,,1102,,225,,1170,,241,,3791,,429,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30481,,92,,37,,45,,473,,142,,3126,,328,,3419,,368,,3272,,386,,6128,,488,,3744,,393,,4347,,486,,1894,,272,,4041,,388,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",158237,,320,,627,,216,,2952,,373,,18772,,730,,25010,,756,,14335,,714,,36730,,1032,,22198,,977,,15436,,807,,10553,,719,,11624,,660,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30798,,87,,39,,33,,365,,121,,4313,,369,,5272,,414,,4127,,351,,6820,,516,,2874,,286,,2486,,292,,1611,,226,,2891,,339,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49096,,106,,102,,70,,709,,151,,7179,,591,,7152,,513,,3768,,403,,11436,,631,,5009,,468,,4279,,352,,3840,,459,,5622,,457,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",122874,,312,,484,,130,,1349,,222,,16405,,931,,21908,,938,,13598,,794,,30167,,989,,12119,,709,,10451,,581,,5847,,492,,10546,,547,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",332417,,388,,1258,,202,,5047,,448,,39601,,1282,,35162,,950,,24679,,1174,,45511,,1262,,32424,,1187,,37357,,1040,,25343,,963,,86035,,1397,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30859,,156,,175,,97,,676,,195,,6489,,507,,6422,,454,,2777,,360,,5583,,486,,2979,,333,,1912,,254,,1228,,231,,2618,,272,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",219819,,264,,1234,,195,,4804,,398,,40338,,1219,,53387,,1143,,32687,,1118,,47413,,1302,,19353,,921,,10329,,720,,5014,,500,,5260,,449,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37701,,214,,215,,102,,543,,126,,7023,,499,,8409,,488,,4247,,466,,6843,,514,,2536,,404,,1765,,241,,1720,,248,,4400,,387,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",172874,,173,,1542,,293,,4485,,400,,34597,,856,,45249,,989,,21328,,808,,31174,,821,,12626,,689,,8436,,468,,5583,,353,,7854,,481,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9958,,63,,39,,31,,166,,100,,1817,,254,,1660,,272,,1103,,201,,1740,,280,,729,,187,,766,,188,,592,,144,,1346,,243,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5680,,58,,3,,4,,74,,34,,1144,,161,,1097,,156,,664,,124,,1332,,137,,364,,76,,268,,60,,263,,68,,471,,101,,0500000US53059,"Skamania County, Washington",0500000US53059
