NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",38399,,220,,1103,,199,,1208,,249,,5501,,340,,6123,,468,,3432,,404,,8501,,555,,4626,,476,,2947,,268,,1839,,275,,3119,,333,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",167104,,296,,5056,,441,,5137,,461,,22542,,832,,33050,,1067,,22734,,837,,34995,,1112,,15628,,860,,9943,,673,,5945,,514,,12074,,735,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22447,,79,,572,,157,,328,,102,,2638,,318,,3119,,421,,2157,,289,,3415,,364,,1407,,239,,1902,,304,,1813,,241,,5096,,440,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21315,,99,,409,,141,,264,,108,,3243,,317,,3564,,316,,2095,,292,,4288,,408,,1561,,257,,946,,184,,1075,,206,,3870,,426,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31124,,85,,258,,106,,468,,183,,3444,,406,,3316,,377,,3216,,422,,6323,,512,,3448,,362,,4542,,413,,2210,,426,,3899,,464,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",162611,,289,,3616,,486,,4295,,556,,18076,,931,,24393,,1029,,15857,,860,,36898,,1053,,22169,,908,,15500,,774,,10388,,605,,11419,,604,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31525,,64,,457,,128,,505,,150,,4227,,362,,5609,,394,,4094,,355,,6114,,424,,3227,,366,,2363,,318,,2134,,292,,2795,,298,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",50416,,158,,1207,,245,,910,,202,,7050,,551,,8018,,530,,3413,,368,,10748,,642,,5053,,487,,4668,,477,,4066,,402,,5283,,452,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",126210,,425,,2872,,377,,1949,,342,,15810,,861,,21499,,946,,13736,,807,,31459,,1164,,12715,,683,,10379,,652,,5428,,475,,10363,,748,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",348029,,388,,9802,,715,,8083,,636,,37737,,1257,,38052,,1435,,28742,,1125,,45565,,1252,,32485,,1058,,38059,,1363,,25228,,934,,84276,,1511,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",32104,,142,,969,,207,,909,,237,,6553,,475,,5923,,455,,3205,,405,,5656,,445,,3095,,328,,1925,,269,,1486,,228,,2383,,331,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",229077,,276,,8729,,500,,7286,,529,,38948,,1075,,55646,,1383,,31704,,1082,,46615,,1334,,18746,,858,,10542,,579,,5147,,453,,5714,,472,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",39069,,213,,1042,,178,,881,,179,,6931,,506,,8221,,622,,4470,,446,,6830,,552,,2598,,394,,1840,,317,,1780,,301,,4476,,532,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",182742,,406,,9040,,698,,6861,,541,,33793,,976,,45393,,1100,,21723,,866,,31037,,1011,,12373,,639,,8884,,649,,5997,,421,,7641,,469,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10424,,56,,236,,116,,323,,120,,1728,,303,,1446,,205,,1260,,224,,2135,,323,,688,,183,,678,,154,,516,,156,,1414,,252,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5865,,53,,119,,48,,118,,47,,1105,,156,,1190,,151,,546,,119,,1490,,152,,357,,82,,192,,65,,337,,88,,411,,90,,0500000US53059,"Skamania County, Washington",0500000US53059
