NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",35202,,554,,903,,205,,3363,,311,,6200,,492,,3356,,318,,8012,,510,,4970,,490,,3083,,394,,1812,,243,,3503,,415,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",151160,,320,,4465,,462,,13791,,742,,31408,,1101,,22031,,947,,34333,,1288,,15784,,702,,10111,,695,,6649,,612,,12588,,801,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",20950,,222,,445,,126,,1455,,247,,2907,,368,,1929,,275,,3526,,322,,1534,,246,,1824,,242,,2241,,316,,5089,,356,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19662,,88,,788,,188,,1853,,217,,3684,,355,,1954,,257,,3815,,362,,1734,,225,,1056,,180,,1037,,165,,3741,,315,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30056,,224,,644,,181,,1314,,233,,4091,,452,,2923,,371,,6950,,567,,3519,,475,,4041,,401,,2520,,368,,4054,,378,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",149234,,812,,3899,,387,,10803,,603,,24043,,866,,13318,,765,,38266,,1151,,21262,,873,,15299,,812,,10805,,680,,11539,,621,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",29024,,389,,464,,124,,1638,,271,,5589,,487,,4540,,423,,6549,,495,,3226,,404,,2828,,429,,2163,,352,,2027,,278,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",46925,,388,,1826,,238,,3810,,371,,7093,,513,,4450,,446,,11053,,586,,4542,,408,,4942,,481,,3742,,362,,5467,,480,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",118759,,500,,2639,,352,,9205,,586,,22998,,845,,13944,,812,,28263,,918,,14400,,855,,10679,,700,,6373,,556,,10258,,664,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",310409,,741,,7267,,562,,22915,,876,,32874,,1105,,23117,,1008,,43759,,1267,,31246,,979,,37506,,1017,,25840,,1010,,85885,,1302,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",27379,,794,,1538,,264,,3089,,329,,5494,,475,,2408,,379,,5959,,457,,2641,,407,,1970,,261,,1698,,266,,2582,,271,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",203503,,524,,8172,,555,,25458,,844,,52575,,1290,,31766,,1118,,42383,,1304,,21321,,956,,10350,,573,,5492,,550,,5986,,505,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",35646,,219,,1841,,289,,4039,,391,,7772,,516,,4717,,463,,6764,,451,,2736,,337,,1874,,281,,1784,,256,,4119,,412,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",159638,,1034,,7189,,429,,21807,,784,,43628,,1113,,20900,,853,,31668,,1045,,12268,,743,,8328,,581,,6219,,514,,7631,,484,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9335,,80,,205,,106,,669,,200,,1299,,213,,1283,,220,,1887,,254,,727,,175,,691,,163,,693,,191,,1881,,248,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5109,,16,,169,,86,,300,,106,,1046,,165,,776,,139,,1389,,153,,416,,78,,263,,97,,138,,64,,612,,133,,0500000US53059,"Skamania County, Washington",0500000US53059
