NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",37789,,229,,503,,158,,909,,201,,5318,,407,,6229,,490,,3306,,380,,8493,,594,,4630,,400,,3257,,331,,2193,,381,,2951,,368,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",163650,,200,,1904,,261,,4832,,436,,22962,,870,,32589,,998,,23057,,884,,33957,,1033,,16195,,767,,9893,,622,,5616,,520,,12645,,654,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22174,,97,,239,,85,,299,,107,,2660,,279,,3374,,316,,1973,,276,,3319,,339,,1383,,251,,2082,,357,,1930,,302,,4915,,407,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21007,,54,,216,,83,,246,,91,,3217,,295,,3901,,337,,1984,,209,,3665,,339,,1479,,241,,1028,,185,,1213,,209,,4058,,395,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30870,,96,,104,,68,,587,,206,,3380,,376,,3375,,370,,3008,,378,,6552,,583,,3547,,490,,4284,,478,,1967,,332,,4066,,455,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",160440,,244,,1362,,249,,3676,,417,,18544,,801,,24827,,888,,14356,,753,,37506,,1161,,22346,,793,,15537,,647,,10293,,615,,11993,,702,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31200,,67,,82,,49,,434,,108,,4294,,335,,5370,,347,,4010,,361,,6738,,451,,3072,,332,,2614,,288,,1836,,249,,2750,,287,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49688,,142,,276,,94,,842,,164,,6979,,429,,7462,,536,,3756,,437,,11142,,654,,5059,,438,,4575,,526,,4285,,395,,5312,,467,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",124317,,335,,924,,208,,1757,,247,,15986,,861,,21157,,914,,13764,,691,,31548,,1153,,12804,,751,,10326,,617,,5549,,464,,10502,,651,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",337821,,437,,3516,,409,,6479,,484,,38194,,1182,,36563,,1374,,26400,,1044,,45747,,1337,,31646,,1151,,37303,,1156,,25491,,824,,86482,,1272,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",31403,,99,,368,,113,,780,,237,,6718,,434,,6226,,416,,3031,,380,,5321,,463,,3189,,391,,1974,,296,,1380,,220,,2416,,321,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",223394,,239,,2896,,338,,6267,,510,,40140,,1206,,54272,,1354,,32145,,1112,,47313,,1235,,19249,,802,,10556,,665,,5012,,474,,5544,,435,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",38286,,199,,472,,149,,720,,166,,7145,,499,,7855,,458,,4552,,376,,7093,,524,,2364,,304,,1992,,289,,1622,,269,,4471,,391,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",176422,,230,,3234,,394,,5596,,517,,34567,,896,,45602,,1196,,21386,,846,,31603,,934,,12300,,636,,8608,,542,,5594,,439,,7932,,571,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10196,,78,,111,,72,,339,,134,,1615,,269,,1737,,271,,1154,,232,,1977,,284,,653,,167,,690,,149,,591,,137,,1329,,264,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5766,,71,,7,,9,,110,,54,,1163,,143,,1060,,173,,665,,119,,1413,,154,,375,,67,,243,,59,,289,,73,,441,,98,,0500000US53059,"Skamania County, Washington",0500000US53059
