NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36438,,185,,214,,81,,5221,,350,,6128,,437,,3389,,296,,8687,,560,,4958,,442,,2996,,308,,1814,,287,,3031,,318,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",157541,,232,,1087,,223,,23656,,855,,31616,,1020,,22533,,774,,34305,,1205,,15760,,833,,10092,,629,,6180,,549,,12312,,742,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21601,,115,,120,,60,,2779,,249,,3239,,373,,2009,,241,,3277,,313,,1364,,211,,1748,,261,,2053,,302,,5012,,401,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20614,,83,,114,,68,,3362,,385,,4060,,288,,2123,,293,,3913,,337,,1729,,273,,1009,,189,,986,,171,,3318,,353,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30467,,94,,178,,91,,2609,,310,,3712,,403,,3028,,346,,6310,,539,,3700,,424,,4346,,389,,2267,,335,,4317,,412,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",156118,,381,,815,,182,,19175,,856,,24640,,731,,14211,,721,,36924,,1071,,22303,,989,,15463,,715,,11148,,533,,11439,,633,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30550,,143,,101,,58,,3768,,358,,5665,,451,,4285,,413,,6800,,487,,2789,,361,,2419,,387,,2038,,367,,2685,,351,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48795,,97,,246,,96,,7908,,573,,6989,,528,,4108,,406,,11454,,678,,4666,,464,,4078,,385,,3980,,360,,5366,,444,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121245,,260,,555,,198,,16080,,777,,22205,,907,,13421,,667,,29125,,1048,,12802,,620,,10660,,684,,5762,,491,,10635,,602,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",325163,,490,,1359,,206,,40118,,1235,,34553,,1264,,23107,,907,,45837,,1325,,31557,,1053,,38403,,1066,,25689,,940,,84540,,1429,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30283,,155,,392,,163,,6130,,490,,6220,,523,,2751,,369,,5514,,497,,3022,,410,,2043,,265,,1417,,262,,2794,,314,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",213520,,208,,1431,,287,,38519,,1140,,52981,,1275,,32948,,1060,,45151,,1212,,21040,,894,,9965,,556,,5342,,451,,6143,,518,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37137,,194,,196,,103,,6928,,540,,8358,,519,,4294,,390,,6596,,507,,2423,,350,,2091,,282,,2179,,298,,4072,,435,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",168178,,178,,1240,,271,,35568,,863,,44029,,1128,,21610,,938,,32033,,1070,,12312,,630,,8099,,535,,6019,,433,,7268,,529,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9797,,54,,44,,61,,1508,,234,,1567,,242,,1050,,209,,1308,,260,,893,,199,,931,,227,,764,,144,,1732,,249,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5614,,23,,5,,7,,949,,133,,1051,,159,,760,,135,,1342,,139,,403,,97,,379,,91,,240,,76,,485,,95,,0500000US53059,"Skamania County, Washington",0500000US53059
