NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36097,,251,,1720,,279,,3479,,376,,6194,,466,,3317,,355,,8045,,490,,4878,,409,,3180,,317,,1939,,298,,3345,,338,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",156150,,169,,8711,,600,,13060,,723,,32793,,1127,,21589,,950,,34588,,904,,15869,,887,,10243,,575,,6675,,576,,12622,,658,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21461,,131,,896,,176,,1916,,327,,2806,,280,,2036,,265,,3724,,306,,1409,,233,,1683,,245,,2065,,311,,4926,,392,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20600,,73,,1304,,239,,2063,,296,,3908,,347,,1809,,243,,4063,,311,,1758,,249,,1023,,184,,1046,,198,,3626,,346,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30557,,182,,1255,,221,,1409,,205,,3621,,365,,2855,,398,,6894,,525,,3548,,415,,4558,,432,,2333,,336,,4084,,350,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",155320,,612,,7105,,542,,11524,,628,,24098,,914,,14202,,671,,38659,,1065,,21822,,739,,15485,,796,,10571,,545,,11854,,621,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30383,,141,,973,,188,,1966,,341,,6055,,462,,4655,,459,,6480,,531,,3171,,363,,2452,,386,,2272,,306,,2359,,358,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48461,,118,,3408,,378,,4103,,375,,7213,,442,,4294,,384,,11270,,531,,4373,,497,,4422,,450,,3819,,403,,5559,,610,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",120482,,284,,5782,,555,,9034,,593,,21825,,936,,13859,,803,,28679,,1079,,13946,,667,,11110,,652,,5978,,525,,10269,,548,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",322567,,551,,13841,,841,,23205,,1023,,34786,,1259,,23224,,903,,44887,,1266,,31468,,1165,,38731,,1240,,25959,,968,,86466,,1462,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30044,,176,,2755,,372,,3254,,271,,6296,,510,,2606,,343,,5693,,506,,2782,,314,,2114,,317,,1784,,301,,2760,,359,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",211045,,365,,13735,,733,,24244,,876,,53664,,998,,32104,,1071,,43281,,1281,,21983,,1141,,10325,,684,,5519,,463,,6190,,482,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",36831,,204,,2689,,304,,3969,,363,,8103,,494,,4494,,385,,6462,,472,,2718,,340,,2038,,278,,1934,,287,,4424,,379,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",166270,,229,,11827,,586,,22089,,980,,43545,,1130,,22500,,831,,32739,,984,,11566,,620,,8240,,631,,6204,,416,,7560,,530,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9713,,53,,419,,138,,883,,185,,1577,,208,,1141,,187,,1451,,191,,795,,207,,965,,225,,827,,189,,1655,,200,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5577,,22,,318,,84,,453,,112,,1037,,153,,757,,158,,1328,,195,,496,,113,,383,,97,,124,,50,,681,,137,,0500000US53059,"Skamania County, Washington",0500000US53059
