NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36301,,202,,118,,66,,5235,,448,,6231,,517,,3538,,410,,8292,,562,,5025,,440,,2917,,315,,1811,,256,,3134,,373,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",156933,,190,,443,,141,,22400,,969,,32157,,1024,,21742,,866,,34729,,1115,,15821,,747,,10893,,641,,6385,,548,,12363,,678,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21563,,110,,99,,59,,2841,,326,,2913,,313,,1993,,303,,3481,,311,,1462,,215,,1735,,240,,2110,,288,,4929,,336,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20639,,70,,47,,36,,3354,,352,,3799,,319,,1954,,280,,4161,,335,,1814,,262,,1048,,178,,930,,181,,3532,,332,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30569,,121,,72,,52,,2700,,389,,3802,,401,,3011,,363,,6536,,470,,3582,,419,,4385,,460,,2359,,340,,4122,,428,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",155815,,374,,458,,129,,18820,,846,,24347,,811,,14342,,743,,37483,,1111,,21702,,860,,15649,,745,,11267,,615,,11747,,641,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30516,,123,,49,,48,,3376,,328,,5913,,487,,4700,,463,,6406,,419,,2910,,400,,2312,,318,,2199,,350,,2651,,355,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48718,,94,,88,,55,,7596,,556,,7285,,519,,4128,,398,,11414,,690,,4687,,449,,4013,,417,,3860,,392,,5647,,459,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121057,,294,,299,,125,,15775,,725,,22059,,760,,13477,,884,,28678,,1097,,13307,,678,,10771,,706,,6182,,652,,10509,,629,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",324192,,382,,650,,138,,39334,,1135,,34688,,1192,,22757,,892,,46105,,1288,,31346,,1125,,38623,,1130,,25527,,1001,,85162,,1328,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30190,,158,,193,,128,,6035,,416,,6196,,409,,2686,,330,,5715,,457,,2880,,414,,2029,,318,,1678,,262,,2778,,342,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",212386,,226,,637,,202,,38263,,1055,,53472,,1391,,32999,,1023,,44001,,993,,21370,,880,,10144,,625,,5413,,517,,6087,,475,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37056,,156,,125,,89,,6836,,451,,8364,,522,,4156,,417,,6471,,452,,2702,,347,,2115,,278,,2057,,333,,4230,,401,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",167412,,215,,616,,164,,34348,,1089,,43490,,1158,,22439,,884,,32163,,925,,12472,,685,,8053,,576,,6388,,495,,7443,,438,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9774,,67,,1,,2,,1407,,245,,1557,,239,,1121,,217,,1337,,269,,962,,221,,956,,203,,693,,183,,1740,,263,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5607,,25,,3,,5,,899,,148,,1040,,153,,784,,134,,1343,,157,,473,,92,,391,,91,,160,,55,,514,,111,,0500000US53059,"Skamania County, Washington",0500000US53059
