NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36701,,216,,414,,128,,5306,,383,,6109,,464,,3350,,309,,8850,,538,,4679,,357,,3266,,374,,1791,,251,,2936,,314,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",158669,,153,,1726,,321,,24280,,981,,31100,,1115,,23346,,1008,,33769,,1135,,16300,,779,,10027,,605,,6142,,555,,11979,,741,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21693,,118,,197,,90,,2818,,349,,3378,,351,,1981,,223,,3219,,358,,1331,,245,,1779,,268,,2040,,292,,4950,,399,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20678,,60,,150,,82,,3448,,344,,4013,,320,,2190,,283,,3551,,301,,1620,,220,,1143,,215,,1123,,234,,3440,,388,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30511,,134,,245,,93,,2873,,308,,3714,,369,,3264,,402,,6326,,482,,3586,,432,,4239,,463,,2156,,314,,4108,,445,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",156815,,437,,1294,,232,,19360,,838,,25024,,866,,14207,,713,,36772,,983,,21783,,824,,15441,,674,,11196,,687,,11738,,631,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30656,,102,,178,,72,,4271,,383,,5421,,487,,4278,,387,,6869,,555,,2677,,344,,2320,,289,,1941,,323,,2701,,313,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48988,,99,,363,,104,,7946,,539,,7251,,557,,3642,,412,,11657,,671,,4817,,493,,3953,,441,,4172,,467,,5187,,533,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121706,,295,,907,,226,,16267,,757,,22051,,893,,13434,,716,,29522,,1023,,12322,,748,,10703,,650,,5666,,459,,10834,,661,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",326952,,358,,2305,,295,,39963,,1175,,34824,,1090,,23985,,1034,,45845,,1375,,31851,,1249,,37835,,1192,,25154,,1183,,85190,,1391,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30445,,122,,503,,170,,6096,,486,,6306,,485,,2615,,302,,5851,,514,,2875,,440,,2061,,275,,1393,,293,,2745,,348,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",215140,,236,,2348,,293,,39452,,1065,,52698,,1254,,33278,,1070,,45325,,1173,,20794,,923,,10057,,570,,5238,,448,,5950,,511,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37292,,175,,346,,125,,7102,,487,,8231,,520,,4184,,395,,6493,,432,,2468,,289,,2078,,334,,2035,,298,,4355,,422,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",169520,,206,,2054,,227,,35274,,1018,,44462,,1126,,21538,,808,,32132,,888,,12238,,641,,8136,,549,,6114,,412,,7572,,489,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9857,,79,,73,,66,,1669,,234,,1864,,260,,884,,163,,1293,,204,,817,,178,,981,,176,,756,,176,,1520,,214,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5637,,32,,31,,24,,1104,,139,,1012,,155,,713,,101,,1301,,140,,408,,92,,391,,88,,228,,64,,449,,90,,0500000US53059,"Skamania County, Washington",0500000US53059
