NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",40092,,72,,319,,144,,3576,,422,,5880,,474,,5841,,471,,3678,,450,,8245,,495,,4670,,438,,2633,,299,,1901,,344,,3349,,475,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",170723,,213,,1055,,245,,15856,,950,,23168,,1088,,31021,,1088,,23189,,1192,,33969,,1294,,14998,,840,,9856,,745,,6352,,655,,11259,,814,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",23060,,37,,106,,64,,1352,,256,,2783,,395,,2988,,429,,2559,,364,,3242,,387,,1309,,261,,1470,,286,,1684,,318,,5567,,543,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21773,,60,,40,,34,,1189,,281,,3092,,416,,3740,,420,,2476,,306,,3580,,448,,1662,,314,,1288,,303,,1131,,265,,3575,,412,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31476,,45,,279,,135,,1049,,267,,2969,,464,,3864,,511,,3007,,366,,6433,,597,,3657,,397,,4328,,462,,1909,,341,,3981,,501,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",166750,,170,,578,,172,,11323,,775,,19477,,1069,,24410,,983,,15947,,935,,35507,,1254,,22788,,1171,,14956,,1012,,11261,,815,,10503,,857,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",32094,,37,,119,,79,,1892,,299,,4088,,367,,5813,,536,,4378,,409,,6160,,405,,2620,,323,,2124,,299,,2108,,358,,2792,,362,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",52145,,58,,376,,149,,3514,,410,,7361,,739,,8534,,693,,3975,,502,,10829,,843,,4597,,483,,4277,,434,,3943,,466,,4739,,518,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",129065,,110,,867,,198,,8687,,812,,15223,,1011,,22120,,1212,,12867,,842,,30197,,1120,,12673,,826,,10484,,930,,4993,,517,,10954,,753,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",363661,,163,,1602,,298,,32635,,1495,,38017,,1546,,35406,,1531,,30398,,1437,,46079,,1763,,32588,,1440,,37496,,1561,,24791,,1150,,84649,,1847,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",33916,,42,,159,,83,,3299,,522,,6743,,479,,5880,,623,,3015,,493,,6200,,637,,3079,,485,,1834,,297,,1369,,292,,2338,,330,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",237586,,157,,1720,,291,,25935,,1120,,39551,,1380,,50727,,1478,,31627,,1368,,45901,,1509,,19794,,962,,10779,,838,,4948,,456,,6604,,721,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",40239,,93,,239,,82,,3930,,477,,7077,,692,,8489,,738,,4448,,583,,6204,,587,,2238,,345,,1970,,304,,2057,,396,,3587,,377,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",196557,,120,,2489,,296,,26769,,1240,,32841,,1288,,44335,,1479,,21514,,1199,,32043,,1233,,12849,,829,,8930,,803,,6427,,522,,8360,,806,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10602,,27,,40,,34,,924,,245,,1906,,314,,1405,,292,,968,,200,,1487,,263,,677,,202,,1004,,233,,499,,162,,1692,,344,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5830,,27,,5,,8,,465,,112,,1097,,159,,1018,,122,,529,,118,,1361,,143,,324,,117,,243,,69,,297,,97,,491,,105,,0500000US53059,"Skamania County, Washington",0500000US53059
