NAME,B25034_001E,B25034_001EA,B25034_001M,B25034_001MA,B25034_002E,B25034_002EA,B25034_002M,B25034_002MA,B25034_003E,B25034_003EA,B25034_003M,B25034_003MA,B25034_004E,B25034_004EA,B25034_004M,B25034_004MA,B25034_005E,B25034_005EA,B25034_005M,B25034_005MA,B25034_006E,B25034_006EA,B25034_006M,B25034_006MA,B25034_007E,B25034_007EA,B25034_007M,B25034_007MA,B25034_008E,B25034_008EA,B25034_008M,B25034_008MA,B25034_009E,B25034_009EA,B25034_009M,B25034_009MA,B25034_010E,B25034_010EA,B25034_010M,B25034_010MA,B25034_011E,B25034_011EA,B25034_011M,B25034_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36992,,153,,68,,55,,566,,144,,5234,,410,,6130,,465,,3204,,307,,9238,,502,,4718,,350,,3218,,338,,1756,,298,,2860,,293,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",159754,,172,,257,,115,,2861,,369,,24182,,861,,31417,,1069,,23016,,963,,34035,,981,,15756,,726,,10291,,662,,5896,,547,,12043,,725,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21779,,121,,61,,58,,262,,91,,2773,,279,,3181,,282,,1838,,280,,3431,,324,,1274,,191,,2031,,274,,2105,,284,,4823,,375,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20692,,69,,35,,36,,171,,79,,3326,,274,,4104,,367,,2105,,246,,3472,,304,,1643,,291,,1222,,234,,1069,,228,,3545,,370,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30482,,94,,0,,28,,397,,126,,2978,,362,,3511,,317,,3088,,370,,6177,,486,,3794,,454,,4252,,431,,2147,,314,,4138,,396,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",157510,,310,,124,,78,,2164,,313,,19196,,812,,24868,,952,,14762,,621,,36641,,1152,,21802,,749,,15087,,743,,10857,,615,,12009,,534,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30703,,101,,0,,25,,294,,106,,4187,,388,,5462,,441,,4155,,394,,6962,,429,,2740,,281,,2359,,291,,1930,,293,,2614,,333,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49005,,102,,7,,11,,483,,120,,7457,,454,,7016,,567,,3815,,404,,11629,,643,,4890,,393,,4230,,415,,4004,,416,,5474,,421,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",122315,,318,,154,,77,,1135,,209,,16368,,806,,21613,,991,,13469,,807,,29942,,1016,,12402,,679,,10465,,658,,5768,,459,,10999,,635,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",329504,,456,,209,,87,,3549,,388,,40237,,1225,,35433,,933,,24128,,991,,45812,,1342,,31818,,1011,,37411,,1239,,24999,,897,,85908,,1396,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30651,,147,,111,,81,,698,,235,,5827,,434,,6363,,443,,2753,,343,,5720,,512,,3072,,384,,2207,,273,,1337,,222,,2563,,326,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",217085,,279,,323,,115,,3435,,370,,39638,,1241,,53166,,1235,,32750,,1117,,46084,,1350,,20373,,876,,10287,,646,,5162,,458,,5867,,439,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37495,,218,,77,,56,,459,,146,,7204,,512,,8246,,455,,4269,,521,,6561,,510,,2496,,354,,1895,,306,,1876,,311,,4412,,415,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",170937,,226,,515,,156,,3104,,357,,35451,,981,,44829,,1038,,21044,,926,,31742,,1027,,12188,,742,,8343,,499,,6069,,430,,7652,,478,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9894,,75,,12,,19,,155,,90,,1877,,338,,1580,,224,,1069,,165,,1515,,263,,809,,201,,775,,173,,635,,154,,1467,,244,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5653,,29,,0,,19,,40,,21,,1180,,146,,1004,,135,,683,,107,,1317,,140,,334,,73,,331,,74,,268,,73,,496,,90,,0500000US53059,"Skamania County, Washington",0500000US53059
